count,zip
1,32835
1,32113
1,33509
16,33510
39,33511
3,33527
9,33534
1,33544
7,33547
1,33548
11,33549
3,33556
5,33558
12,33559
12,33563
4,33565
7,33566
8,33567
1,33569
15,33570
9,33572
2,33573
17,33578
13,33579
1,33583
13,33584
5,33592
10,33594
5,33596
10,33598
1,33601
57,33602
65,33603
88,33604
100,33605
12,33606
54,33607
1,33608
31,33609
110,33610
33,33611
114,33612
64,33613
69,33614
55,33615
19,33616
77,33617
11,33618
72,33619
2,33620
2,33621
2,33622
2,33623
24,33624
19,33625
9,33626
1,33627
1,33628
19,33629
1,33630
1,33631
1,33632
2,33633
15,33634
12,33635
1,33636
23,33637
1,33638
1,33639
1,33640
1,33641
1,33642
1,33643
1,33644
1,33645
2,33646
29,33647
1,33648
1,33649
1,33650
1,33651
1,33652
1,33653
1,33654
1,33655
1,33656
1,33657
1,33658
1,33659
1,33660
1,33661
1,33662
1,33663
1,33664
1,33665
1,33666
1,33667
1,33668
1,33669
1,33670
1,33671
1,33672
1,33673
1,33674
4,33675
1,33676
1,33677
1,33678
1,33679
1,33680
1,33681
1,33682
1,33683
2,33684
1,33685
1,33686
1,33687
1,33688
1,33689
1,33690
1,33691
1,33692
1,33693
1,33694
1,33695
1,33696
1,33697
1,33698
1,33699
1,33700
1,33701
1,33702
1,33703
1,33704
1,33705
1,33706
1,33707
1,33708
1,33709
1,33710
1,33711
1,33712
1,33713
1,33714
1,33715
1,33716
1,33717
1,33718
1,33719
1,33720
1,33721
1,33722
1,33723
1,33724
1,33725
1,33726
1,33727
1,33728
1,33729
1,33730
1,33731
1,33732
1,33733
1,33734
1,33735
1,33736
1,33737
1,33738
1,33739
1,33740
1,33741
1,33742
1,33743
1,33744
1,33745
1,33746
1,33747
1,33748
1,33749
1,33750
1,33751
1,33752
1,33753
1,33754
1,33755
1,33756
1,33757
1,33758
1,33759
1,33760
1,33761
1,33762
1,33763
2,33764
1,33765
1,33766
1,33767
1,33768
1,33769
1,33770
2,33771
1,33772
1,33773
1,33774
1,33775
1,33776
1,33777
1,33778
1,33779
1,33780
1,33781
1,33782
1,33783
1,33784
1,33785
1,33786
1,33787
1,33788
1,33789
1,33790
1,33791
1,33792
1,33793
1,33794
1,33795
1,33796
1,33797
1,33798
1,33799
1,33800
1,33801
1,33802
1,33803
1,33804
1,33805
1,33806
1,33807
1,33808
1,33809
1,33810
1,33811
1,33812
1,33813
1,33814
1,33815
1,33816
1,33817
1,33818
1,33819
1,33820
1,33821
1,33822
1,33823
1,33824
1,33825
1,33826
1,33827
1,33828
1,33829
1,33830
1,33831
1,33832
1,33833
1,33834
1,33835
1,33836
1,33837
1,33838
1,33839
1,33840
1,33841
1,33842
1,33843
1,33844
1,33845
1,33846
1,33847
1,33848
1,33849
1,33850
1,33851
1,33852
1,33853
1,33854
1,33855
1,33856
1,33857
1,33858
1,33859
1,33860
1,33861
1,33862
1,33863
1,33864
1,33865
1,33866
1,33867
1,33868
1,33869
1,33870
1,33871
1,33872
1,33873
1,33874
1,33875
1,33876
1,33877
1,33878
1,33879
1,33880
1,33881
1,33882
1,33883
1,33884
1,33885
1,33886
1,33887
1,33888
1,33889
1,33890
1,33891
1,33892
1,33893
1,33894
1,33895
1,33896
1,33897
1,33898
1,33899
1,33900
1,33901
1,33902
1,33903
1,33904
1,33905
1,33906
1,33907
1,33908
1,33909
1,33910
1,33911
1,33912
1,33913
1,33914
1,33915
1,33916
1,33917
1,33918
1,33919
1,33920
1,33921
1,33922
1,33923
1,33924
1,33925
1,33926
1,33927
1,33928
1,33929
1,33930
1,33931
1,33932
1,33933
1,33934
1,33935
1,33936
1,33937
1,33938
1,33939
1,33940
1,33941
1,33942
1,33943
1,33944
1,33945
1,33946
1,33947
1,33948
1,33949
1,33950
1,33951
1,33952
1,33953
1,33954
1,33955
1,33956
1,33957
1,33958
1,33959
1,33960
1,33961
1,33962
1,33963
1,33964
1,33965
1,33966
1,33967
1,33968
1,33969
1,33970
1,33971
1,33972
1,33973
1,33974
